nodes,degree,size_mis,violations,time
10,3,4,0,3.307025671005249
10,5,0,0,1.27772045135498
10,7,0,0,1.16652774810791
50,3,21,0,3.466069459915161
50,5,15,0,3.365199327468872
50,7,0,0,3.045019388198852
100,3,44,0,3.46447491645813
100,5,34,0,3.396091222763061
100,7,0,0,3.380587816238403
